proposal_id,title,voting_date,f_statistic,p_value,eta_squared,mean_range,n_municipalities,n_groups,category,significant,highly_significant
164,"Bundesbeschluss über die Velowege sowie die Fuss- und Wanderwege (direkter Gegenentwurf zur Volksinitiative «Zur Förderung der Velo-, Fuss- und Wanderwege [Velo-Initiative]»)",20180923,156.57451068746272,2.8164914780380142e-164,0.3116482207650045,18.241038918160427,2082,7,Grossregionen,True,True
165,Volksinitiative «Für gesunde sowie umweltfreundlich und fair hergestellte Lebensmittel (Fair-Food-Initiative)»,20180923,305.66908576872123,5.155751300197009e-281,0.46917567273198396,31.46127237209559,2082,7,Grossregionen,True,True
166,Volksinitiative «Für Ernährungssouveränität. Die Landwirtschaft betrifft uns alle»,20180923,331.30619372941715,2.2800129748383574e-298,0.48927315640032765,30.818962457525686,2082,7,Grossregionen,True,True
167,Volksinitiative «Für die Würde der landwirtschaftlichen Nutztiere (Hornkuh-Initiative)»,20181125,38.802453313509034,6.801106326303176e-45,0.10088102735260024,16.67115197589206,2082,7,Grossregionen,True,True
168,Volksinitiative «Schweizer Recht statt fremde Richter (Selbstbestimmungsinitiative)»,20181125,118.17342485362619,1.26482298111922e-128,0.2546803958532241,18.472198843447366,2082,7,Grossregionen,True,True
169,Änderung des Bundesgesetzes über den Allgemeinen Teil des Sozialversicherungsrechts (ATSG) (Gesetzliche Grundlage für die Überwachung von Versicherten),20181125,247.98463145174782,2.4206706367181784e-239,0.4176105240290268,19.426453068467893,2082,7,Grossregionen,True,True
170,Volksinitiative «Zersiedelung stoppen – für eine nachhaltige Siedlungsentwicklung (Zersiedelungsinitiative)»,20190210,45.13835368465231,3.863757763286342e-52,0.11545171986475801,12.90980480788987,2082,7,Grossregionen,True,True
171,Bundesgesetz über die Steuerreform und die AHV-Finanzierung (STAF),20190519,283.9027325508762,9.740617299670016e-266,0.4508281293247025,17.602793122133264,2082,7,Grossregionen,True,True
172,Bundesbeschluss über die Genehmigung und die Umsetzung des Notenaustauschs zwischen der Schweiz und der EU betreffend die Übernahme der Richtlinie (EU) 2017/853 zur Änderung der EU-Waffenrichtlinie (Weiterentwicklung des Schengen-Besitzstands),20190519,55.088606579751705,2.589682581411137e-63,0.13740481898220452,17.752190715065375,2082,7,Grossregionen,True,True
173,Volksinitiative «Mehr bezahlbare Wohnungen»,20200209,62.871288104840886,7.044304997672529e-72,0.15383062683168489,15.659136360523249,2082,7,Grossregionen,True,True
174,Strafgesetzbuch und des Militärstrafgesetz (Diskriminierung und Aufruf zu Hass aufgrund der sexuellen Orientierung),20200209,220.1624430468832,8.791185518806509e-218,0.3889824840300316,23.004584061300577,2082,7,Grossregionen,True,True
175,Volksinitiative «Für eine massvolle Zuwanderung (Begrenzungsinitiative)»,20200927,107.92455007048656,1.2786172103655471e-118,0.23784611577632817,18.63572911586428,2082,7,Grossregionen,True,True
176,"Bundesgesetz über die Jagd und den Schutz wildlebender Säugetiere und Vögel (Jagdgesetz, JSG)",20200927,60.931551682648866,9.299707621987376e-70,0.14979550577541825,18.47094099266915,2082,7,Grossregionen,True,True
177,Bundesgesetz über die direkte Bundessteuer (DBG) (Steuerliche Berücksichtigung der Kinderdrittbetreuungskosten),20200927,371.9558772448839,0.0,0.5181965286790169,22.28401535012728,2082,7,Grossregionen,True,True
